user_id,matched_user_id,text_score,mbti_score,location_score,compatibility_score,action
U001,U071,68.91,75,100,81.23,1
U001,U011,95.11,90,50,78.61,1
U001,U092,51.61,75,100,75.96,1
U001,U091,97.52,75,50,73.77,1
U001,U082,41.91,75,100,73.01,1
U001,U031,94.94,75,50,72.99,1
U001,U021,93.24,75,50,72.47,1
U001,U074,38.98,75,100,72.12,1
U001,U081,73.03,90,50,71.89,1
U001,U061,72.96,90,50,71.87,1
U001,U051,70.66,90,50,71.16,1
U001,U041,67.82,90,50,70.3,0
U001,U022,47.41,60,100,69.11,0
U001,U096,21.72,75,100,66.86,0
U001,U089,16.8,75,100,65.36,1
U001,U058,25.74,60,100,62.5,1
U001,U014,39.25,90,50,61.59,1
U001,U009,21.27,60,100,61.14,0
U001,U002,54.39,75,50,60.63,0
U001,U062,54.05,75,50,60.53,1
U002,U021,50.34,90,100,81.15,1
U002,U092,96.84,90,50,79.14,1
U002,U032,93.64,90,50,78.17,1
U002,U012,93.39,90,50,78.09,1
U002,U062,93.2,75,50,72.45,1
U002,U052,91.2,75,50,71.85,0
U002,U065,28.32,75,100,68.87,1
U002,U042,96.45,60,50,67.87,0
U002,U091,54.28,90,50,66.17,1
U002,U072,72.02,75,50,66.0,0
U002,U082,70.66,75,50,65.59,0
U002,U047,35.33,60,100,65.42,0
U002,U022,87.78,60,50,65.23,1
U002,U008,27.0,60,100,62.89,0
U002,U098,26.24,60,100,62.66,1
U002,U071,42.37,90,50,62.55,1
U002,U085,24.31,60,100,62.07,1
U002,U056,37.86,90,50,61.17,1
U002,U080,21.15,60,100,61.11,1
U002,U001,54.39,75,50,60.63,0
U003,U083,73.76,90,100,88.29,1
U003,U073,79.05,90,50,73.72,1
U003,U043,78.82,90,50,73.65,0
U003,U067,32.31,75,100,70.08,1
U003,U015,24.56,75,100,67.72,1
U003,U013,95.03,60,50,67.44,1
U003,U033,94.86,60,50,67.39,1
U003,U100,22.13,75,100,66.98,0
U003,U093,93.29,60,50,66.91,1
U003,U053,93.11,60,50,66.85,0
U003,U070,18.39,75,100,65.84,0
U003,U086,27.72,60,100,63.11,1
U003,U006,27.36,60,100,63.0,1
U003,U097,26.54,60,100,62.75,0
U003,U063,78.91,60,50,62.53,1
U003,U023,78.64,60,50,62.44,0
U003,U081,24.47,60,100,62.12,1
U003,U041,24.19,60,100,62.03,0
U003,U042,34.26,75,50,54.5,0
U003,U022,33.3,75,50,54.21,1
U004,U084,96.93,90,100,95.35,1
U004,U024,93.33,90,100,94.25,0
U004,U074,96.93,90,50,79.17,1
U004,U051,47.04,75,100,74.57,1
U004,U044,96.69,75,50,73.52,1
U004,U054,76.74,90,50,73.02,1
U004,U064,91.0,75,50,71.79,0
U004,U026,35.59,75,100,71.08,1
U004,U046,35.45,75,100,71.04,0
U004,U094,87.78,75,50,70.81,1
U004,U037,33.76,75,100,70.52,1
U004,U027,30.21,75,100,69.44,1
U004,U014,77.08,75,50,67.54,1
U004,U034,73.09,75,50,66.33,1
U004,U057,30.15,60,100,63.85,1
U004,U087,29.68,60,100,63.7,1
U004,U020,28.5,60,100,63.35,0
U004,U099,28.48,60,100,63.34,1
U004,U079,28.15,60,100,63.24,0
U004,U060,25.83,60,100,62.53,0
U005,U025,94.82,90,100,94.7,1
U005,U075,83.3,60,100,80.04,1
U005,U065,93.28,75,50,72.48,1
U005,U045,85.46,75,50,70.1,1
U005,U016,31.6,75,100,69.86,1
U005,U053,27.41,75,100,68.59,1
U005,U055,97.32,60,50,68.14,0
U005,U014,25.58,75,100,68.03,1
U005,U066,24.99,75,100,67.85,1
U005,U012,21.84,75,100,66.89,1
U005,U031,21.26,75,100,66.71,1
U005,U035,90.47,60,50,66.05,1
U005,U015,90.43,60,50,66.04,0
U005,U072,18.08,75,100,65.75,1
U005,U085,81.02,60,50,63.17,1
U005,U010,25.96,60,100,62.57,1
U005,U095,78.48,60,50,62.39,1
U005,U019,25.09,60,100,62.31,0
U005,U039,24.3,60,100,62.06,0
U005,U042,21.79,60,100,61.3,1
U006,U086,76.37,75,100,83.51,1
U006,U066,97.06,90,50,79.21,1
U006,U016,80.57,90,50,74.18,0
U006,U036,79.11,90,50,73.74,1
U006,U026,93.73,75,50,72.62,0
U006,U076,93.49,75,50,72.54,1
U006,U046,93.38,75,50,72.51,0
U006,U056,85.41,75,50,70.08,1
U006,U097,30.65,75,100,69.58,1
U006,U041,27.87,75,100,68.73,1
U006,U081,27.59,75,100,68.65,1
U006,U096,74.79,75,50,66.85,0
U006,U067,34.21,60,100,65.08,0
U006,U083,31.1,60,100,64.14,1
U006,U003,27.36,60,100,63.0,0
U006,U070,24.07,60,100,62.0,1
U006,U015,22.28,60,100,61.45,0
U006,U100,20.08,60,100,60.78,1
U006,U014,40.29,75,50,56.33,0
U006,U034,40.05,75,50,56.26,1
U007,U037,85.08,90,50,75.56,1
U007,U033,29.33,90,100,74.75,1
U007,U017,82.32,90,50,74.72,1
U007,U077,94.58,75,50,72.88,1
U007,U056,37.16,75,100,71.56,1
U007,U023,30.37,75,100,69.49,1
U007,U027,80.73,75,50,68.66,1
U007,U097,80.73,75,50,68.66,1
U007,U087,97.54,60,50,68.2,1
U007,U067,97.35,60,50,68.14,1
U007,U064,25.72,75,100,68.08,1
U007,U034,23.44,75,100,67.38,1
U007,U094,22.91,75,100,67.22,0
U007,U047,84.85,60,50,64.34,1
U007,U057,80.58,60,50,63.03,0
U007,U062,40.58,90,50,62.0,1
U007,U052,39.64,90,50,61.71,0
U007,U035,22.88,60,100,61.63,0
U007,U049,22.72,60,100,61.59,1
U007,U029,22.7,60,100,61.58,1
U008,U098,89.27,90,100,93.01,1
U008,U038,95.2,75,50,73.07,1
U008,U088,70.36,90,50,71.07,1
U008,U085,25.33,75,100,67.95,0
U008,U047,24.54,75,100,67.72,1
U008,U080,19.72,75,100,66.25,1
U008,U048,72.13,75,50,66.03,1
U008,U078,71.88,75,50,65.96,1
U008,U068,71.78,75,50,65.93,1
U008,U058,71.75,75,50,65.92,0
U008,U018,71.62,75,50,65.88,1
U008,U028,67.22,75,50,64.54,1
U008,U002,27.0,60,100,62.89,0
U008,U065,26.46,60,100,62.72,1
U008,U021,23.46,60,100,61.81,0
U008,U079,30.63,90,50,58.97,0
U008,U029,30.56,90,50,58.95,1
U008,U039,28.57,90,50,58.34,1
U008,U049,28.05,90,50,58.18,0
U008,U009,27.5,90,50,58.02,1
U009,U049,95.71,90,50,78.8,1
U009,U089,79.16,60,100,78.78,1
U009,U079,93.29,90,50,78.06,1
U009,U029,93.1,90,50,78.0,1
U009,U039,90.71,90,50,77.27,0
U009,U019,97.43,75,50,73.75,1
U009,U099,90.68,75,50,71.69,0
U009,U058,30.74,75,100,69.6,1
U009,U069,83.58,75,50,69.52,1
U009,U022,28.12,75,100,68.8,1
U009,U059,77.0,75,50,67.52,1
U009,U030,23.87,75,100,67.51,0
U009,U096,28.48,60,100,63.34,0
U009,U071,25.44,60,100,62.41,1
U009,U074,24.71,60,100,62.19,1
U009,U082,23.37,60,100,61.78,1
U009,U092,21.67,60,100,61.26,0
U009,U001,21.27,60,100,61.14,0
U009,U088,36.99,90,50,60.91,1
U009,U098,31.12,90,50,59.12,1
U010,U020,93.4,90,50,78.09,0
U010,U060,87.97,90,50,76.44,1
U010,U050,97.81,75,50,73.86,0
U010,U090,96.2,75,50,73.37,1
U010,U100,94.13,75,50,72.74,0
U010,U019,17.64,90,100,71.19,0
U010,U040,85.9,75,50,70.23,1
U010,U070,84.96,75,50,69.95,1
U010,U030,84.74,75,50,69.88,1
U010,U080,84.1,75,50,69.68,1
U010,U042,23.17,75,100,67.3,0
U010,U039,22.62,75,100,67.13,1
U010,U075,19.49,75,100,66.18,0
U010,U014,30.44,60,100,63.94,1
U010,U025,26.22,60,100,62.65,0
U010,U005,25.96,60,100,62.57,1
U010,U066,23.26,60,100,61.75,0
U010,U012,23.22,60,100,61.74,0
U010,U031,22.0,60,100,61.36,1
U010,U053,21.95,60,100,61.35,0
U011,U001,95.11,90,50,78.61,1
U011,U091,97.6,75,50,73.8,1
U011,U021,95.95,75,50,73.29,0
U011,U031,95.41,75,50,73.13,1
U011,U077,22.18,90,100,72.57,0
U011,U081,72.92,90,50,71.85,0
U011,U041,70.66,90,50,71.16,1
U011,U061,70.64,90,50,71.16,0
U011,U051,70.14,90,50,71.01,1
U011,U017,25.21,75,100,67.92,1
U011,U045,20.29,75,100,66.42,0
U011,U071,66.63,75,50,64.36,1
U011,U018,31.44,60,100,64.24,1
U011,U043,27.57,60,100,63.06,0
U011,U095,23.06,60,100,61.69,1
U011,U014,38.62,90,50,61.4,1
U011,U094,37.62,90,50,61.1,1
U011,U062,54.55,75,50,60.68,1
U011,U012,54.16,75,50,60.56,1
U011,U002,51.35,75,50,59.7,0
U012,U042,96.95,60,100,84.2,1
U012,U072,74.52,75,100,82.94,1
U012,U032,96.69,90,50,79.09,1
U012,U092,93.51,90,50,78.13,0
U012,U002,93.39,90,50,78.09,1
U012,U031,51.71,75,100,75.99,0
U012,U062,93.69,75,50,72.6,1
U012,U052,91.41,75,50,71.91,1
U012,U066,33.85,75,100,70.55,1
U012,U014,31.08,75,100,69.71,1
U012,U053,30.92,75,100,69.66,1
U012,U016,30.81,75,100,69.62,1
U012,U025,27.93,75,100,68.75,1
U012,U005,21.84,75,100,66.89,1
U012,U022,91.46,60,50,66.35,1
U012,U082,70.82,75,50,65.64,1
U012,U091,51.56,90,50,65.35,1
U012,U021,50.69,90,50,65.08,1
U012,U019,27.19,60,100,62.95,1
U012,U071,42.47,90,50,62.57,1
U013,U093,90.72,90,100,93.45,1
U013,U061,24.24,90,100,73.2,1
U013,U023,75.99,90,50,72.79,1
U013,U053,93.05,75,50,72.41,1
U013,U033,92.43,75,50,72.22,1
U013,U063,73.1,90,50,71.91,1
U013,U052,33.66,75,100,70.49,0
U013,U003,95.03,60,50,67.44,0
U013,U028,27.62,60,100,63.08,0
U013,U078,25.29,60,100,62.37,1
U013,U068,25.25,60,100,62.36,1
U013,U038,23.25,60,100,61.75,1
U013,U073,76.23,60,50,61.71,1
U013,U043,75.78,60,50,61.57,1
U013,U083,74.08,60,50,61.05,1
U013,U077,32.09,90,50,59.41,1
U013,U097,28.95,90,50,58.46,1
U013,U014,28.01,90,50,58.17,1
U013,U026,27.36,90,50,57.97,1
U013,U051,27.35,90,50,57.97,1
U014,U054,96.52,75,50,73.47,1
U014,U066,43.23,75,100,73.41,1
U014,U094,77.87,90,50,73.36,1
U014,U034,92.97,75,50,72.39,1
U014,U031,33.19,75,100,70.35,1
U014,U016,32.76,75,100,70.22,1
U014,U012,31.08,75,100,69.71,1
U014,U044,80.42,75,50,68.56,0
U014,U074,80.13,75,50,68.47,1
U014,U084,80.13,75,50,68.47,1
U014,U024,79.96,75,50,68.42,0
U014,U072,25.73,75,100,68.08,1
U014,U005,25.58,75,100,68.03,1
U014,U053,24.4,75,100,67.67,0
U014,U004,77.08,75,50,67.54,0
U014,U025,22.36,75,100,67.05,0
U014,U064,74.59,75,50,66.79,1
U014,U042,31.48,60,100,64.25,1
U014,U010,30.44,60,100,63.94,0
U014,U039,29.52,60,100,63.66,1
U015,U035,97.22,90,50,79.26,1
U015,U055,90.47,90,50,77.2,0
U015,U085,82.58,90,50,74.8,0
U015,U095,82.48,90,50,74.77,1
U015,U075,82.39,90,50,74.74,1
U015,U100,28.38,75,100,68.88,1
U015,U083,25.07,75,100,67.88,1
U015,U003,24.56,75,100,67.72,1
U015,U065,94.86,60,50,67.39,1
U015,U067,23.05,75,100,67.26,0
U015,U025,93.05,60,50,66.83,1
U015,U005,90.43,60,50,66.04,1
U015,U070,18.57,75,100,65.9,1
U015,U086,25.96,60,100,62.57,1
U015,U045,78.71,60,50,62.46,1
U015,U041,25.32,60,100,62.38,1
U015,U081,22.75,60,100,61.59,1
U015,U006,22.28,60,100,61.45,0
U015,U097,20.18,60,100,60.81,1
U015,U020,29.14,75,50,52.94,0
U016,U066,77.88,90,100,89.54,1
U016,U036,92.35,90,50,77.77,1
U016,U006,80.57,90,50,74.18,1
U016,U056,95.1,75,50,73.03,0
U016,U096,94.83,75,50,72.95,0
U016,U086,89.89,75,50,71.45,1
U016,U014,32.76,75,100,70.22,1
U016,U005,31.6,75,100,69.86,1
U016,U012,30.81,75,100,69.62,1
U016,U053,30.48,75,100,69.53,1
U016,U025,26.32,75,100,68.26,0
U016,U031,24.08,75,100,67.57,0
U016,U026,74.84,75,50,66.86,1
U016,U076,74.64,75,50,66.8,0
U016,U046,74.56,75,50,66.78,1
U016,U072,20.68,75,100,66.54,1
U016,U042,30.74,60,100,64.03,1
U016,U019,26.15,60,100,62.63,0
U016,U039,25.31,60,100,62.37,1
U016,U075,24.5,60,100,62.13,1
U017,U077,82.24,75,100,85.3,1
U017,U037,97.17,90,50,79.24,1
U017,U007,82.32,90,50,74.72,0
U017,U027,95.08,75,50,73.03,1
U017,U097,92.53,75,50,72.25,1
U017,U011,25.21,75,100,67.92,1
U017,U045,25.11,75,100,67.89,0
U017,U047,94.49,60,50,67.27,1
U017,U057,90.0,60,50,65.9,1
U017,U043,35.01,60,100,65.33,1
U017,U018,29.62,60,100,63.69,1
U017,U087,82.21,60,50,63.53,0
U017,U067,79.66,60,50,62.75,1
U017,U095,25.52,60,100,62.44,1
U017,U062,35.51,90,50,60.45,0
U017,U033,34.8,90,50,60.24,0
U017,U052,34.21,90,50,60.06,1
U017,U072,31.16,90,50,59.13,1
U017,U053,29.05,90,50,58.49,1
U017,U082,28.81,90,50,58.41,0
U018,U068,96.61,90,50,79.07,1
U018,U028,91.08,90,50,77.39,1
U018,U058,96.95,75,50,73.6,1
U018,U048,93.19,75,50,72.45,1
U018,U078,93.03,75,50,72.4,1
U018,U088,90.9,75,50,71.76,0
U018,U038,67.29,90,50,70.14,1
U018,U095,27.25,75,100,68.54,1
U018,U043,26.36,75,100,68.27,1
U018,U098,73.78,75,50,66.54,1
U018,U008,71.62,75,50,65.88,1
U018,U011,31.44,60,100,64.24,1
U018,U017,29.62,60,100,63.69,0
U018,U077,29.3,60,100,63.59,1
U018,U045,23.85,60,100,61.93,0
U018,U019,36.38,90,50,60.72,1
U018,U099,34.47,90,50,60.14,1
U018,U059,32.94,90,50,59.67,1
U018,U069,29.82,90,50,58.72,1
U018,U060,27.57,90,50,58.04,1
U019,U039,90.62,75,100,87.85,1
U019,U099,93.3,90,50,78.06,1
U019,U069,83.67,90,50,75.13,1
U019,U059,79.3,90,50,73.8,1
U019,U009,97.43,75,50,73.75,1
U019,U029,95.72,75,50,73.22,0
U019,U079,93.19,75,50,72.45,1
U019,U049,93.1,75,50,72.43,0
U019,U010,17.64,90,100,71.19,1
U019,U042,24.69,75,100,67.76,1
U019,U075,18.46,75,100,65.86,1
U019,U014,28.36,60,100,63.3,0
U019,U089,81.47,60,50,63.3,1
U019,U025,27.74,60,100,63.11,1
U019,U066,27.71,60,100,63.1,1
U019,U012,27.19,60,100,62.95,1
U019,U016,26.15,60,100,62.63,0
U019,U005,25.09,60,100,62.31,1
U019,U053,24.91,60,100,62.25,1
U019,U031,21.48,60,100,61.2,1
U020,U060,85.93,90,100,92.0,1
U020,U010,93.4,90,50,78.09,1
U020,U050,95.59,75,50,73.18,1
U020,U099,22.99,90,100,72.82,1
U020,U100,94.03,75,50,72.71,1
U020,U090,91.96,75,50,72.08,1
U020,U080,88.02,75,50,70.88,1
U020,U040,87.97,75,50,70.86,0
U020,U030,84.81,75,50,69.9,1
U020,U070,84.61,75,50,69.84,0
U020,U087,21.3,75,100,66.73,0
U020,U057,20.81,75,100,66.58,1
U020,U079,17.98,75,100,65.72,1
U020,U084,28.53,60,100,63.36,0
U020,U004,28.5,60,100,63.35,1
U020,U024,28.34,60,100,63.3,1
U020,U046,23.25,60,100,61.74,1
U020,U051,20.92,60,100,61.04,1
U020,U026,20.43,60,100,60.89,0
U020,U037,18.84,60,100,60.4,1
U021,U002,50.34,90,100,81.15,1
U021,U091,95.68,90,50,78.79,1
U021,U011,95.95,75,50,73.29,1
U021,U031,93.53,75,50,72.56,1
U021,U001,93.24,75,50,72.47,1
U021,U071,71.49,90,50,71.42,0
U021,U065,21.44,75,100,66.77,1
U021,U081,69.31,75,50,65.18,0
U021,U061,69.25,75,50,65.16,0
U021,U041,69.26,75,50,65.16,1
U021,U012,50.69,90,50,65.08,1
